country,iso3,climate_vulnerability_index,Year,child_stunting_rate,child_wasting_rate,child_underweight_rate,infant_mortality,under5_mortality,child_mortality,who_stunting_rate,food_supply_kcal,poverty_below_3usd,tfp_index
Northern Europe,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,NA,NA,NA
Oceania (exc. Australia and New Zealand),NA,NA,NA,NA,NA,NA,NA,NA,NA,40.1,NA,NA,NA
Oceania (exc. Australia and New Zealand),NA,NA,NA,NA,NA,NA,NA,NA,NA,42.8,NA,NA,NA
Oceania (exc. Australia and New Zealand),NA,NA,NA,NA,NA,NA,NA,NA,NA,41.5,NA,NA,NA
Oman,NA,NA,NA,NA,NA,NA,NA,NA,NA,11.4,2964.2441,NA,137.5291
Oman,NA,NA,NA,NA,NA,NA,NA,NA,NA,14.4,2964.2441,NA,137.5291
Oman,NA,NA,NA,NA,NA,NA,NA,NA,NA,12.9,2964.2441,NA,137.5291
Poland,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.9,3754.5994,0.24412745,120.8274
Poland,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.1,3754.5994,0.24412745,120.8274
Poland,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,3754.5994,0.24412745,120.8274
Polynesia,NA,NA,NA,NA,NA,NA,NA,NA,NA,6.5,NA,NA,97.1516
Polynesia,NA,NA,NA,NA,NA,NA,NA,NA,NA,7.4,NA,NA,97.1516
Polynesia,NA,NA,NA,NA,NA,NA,NA,NA,NA,7,NA,NA,97.1516
Portugal,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.8,3461.207,0.41326326,147.1647
Portugal,NA,NA,NA,NA,NA,NA,NA,NA,NA,3.5,3461.207,0.41326326,147.1647
Portugal,NA,NA,NA,NA,NA,NA,NA,NA,NA,3.2,3461.207,0.41326326,147.1647
Qatar,NA,NA,NA,NA,NA,NA,NA,NA,NA,4.7,3298.6794,0,95.6198
Qatar,NA,NA,NA,NA,NA,NA,NA,NA,NA,6.1,3298.6794,0,95.6198
Qatar,NA,NA,NA,NA,NA,NA,NA,NA,NA,5.4,3298.6794,0,95.6198
Republic of Korea,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.6,NA,NA,NA
