Country,hunger_vulnerability_rating,undernourishment_rate,undernourished_population,latest_fao_year,gdp_per_capita,life_expectancy,population,poverty_rate,region,income,poverty_headcount,gini_coefficient,poverty_gap,total_markets,total_population_served,climate_vulnerability_index,who_stunting_rate,child_stunting_rate,child_wasting_rate,child_underweight_rate,infant_mortality,under5_mortality,child_mortality,food_supply_kcal,tfp_index,poverty_below_3usd,major_hunger_outbreak_21st,outbreak_years
NORTH AMERICA,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,100.83,NA,FALSE,None
North Korea,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1981.19,NA,NA,FALSE,None
North Macedonia,6.3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3.5,NA,NA,NA,NA,NA,NA,3581.58,114.74,3.94,FALSE,None
Norway,11,2.5,NA,2022-2024,87497.33,83.11,5519594,0.2,Europe & Central Asia,High income,0,0.27,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3490.11,107.27,0.2,FALSE,None
Not classified,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,None
OCEANIA,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,100.37,NA,FALSE,None
Oceania (exc. Australia and New Zealand),8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,40.1,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,None
OECD members,5,NA,NA,NA,46672.51,80.16,1388472514,NA,Aggregates,Aggregates,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,None
Oman,24,5.9,0.3,2022-2024,20972.48,80.03,5049269,NA,Middle East & North Africa,High income,NA,NA,NA,NA,NA,NA,11.4,NA,NA,NA,NA,NA,NA,2964.24,137.53,NA,FALSE,None
Other small states,5,NA,NA,NA,15151.47,73.56,12842214,NA,Aggregates,Aggregates,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,None
Pacific,6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,94.86,NA,FALSE,None
Pacific island small states,13,NA,NA,NA,4153.2,69.27,2689224,NA,Aggregates,Aggregates,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,None
Pakistan,63.1,16.5,40.9,2022-2024,1365.17,67.65,247504495,NA,South Asia,Lower middle income,0.93,0.3,0.5,5,6456381,61.1,32.6,NA,NA,NA,NA,NA,NA,2364.04,109.49,16.52,FALSE,None
Palau,14,NA,NA,NA,15899.42,69.27,17727,NA,East Asia & Pacific,High income,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,None
Palestine,2.7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,42.5,NA,9.35,1.35,2.45,8.64,11.7,NA,NA,NA,2.07,FALSE,None
Panama,34.2,5.7,0.3,2022-2024,18686.41,79.59,4458759,3.7,Latin America & Caribbean,High income,0.25,0.5,0.1,1,541248,30,12.7,NA,NA,NA,NA,NA,NA,3066.92,104.47,3.13,FALSE,None
Papua New Guinea,70.3,28.7,3,2022-2024,2966.07,66.13,10389635,NA,East Asia & Pacific,Lower middle income,0.95,0.42,0.64,NA,NA,75.1,46.2,NA,NA,NA,NA,NA,NA,2209.84,96.13,52.21,FALSE,None
