iso3,year,undernourishment,vulnerability,ln_gdp_pcap
AUT,2018,2.5,0.297677048212416,10.843379081364967
AZE,2018,2.5,0.401345007788368,8.463749019726647
BGD,2018,13.4,0.528898395231602,7.583371550868579
BRB,2018,2.5,0.371310350436335,9.906279445113087
BEL,2018,2.5,0.34428605662023,10.76821569143367
BLZ,2018,5.8,0.452461522841639,8.70471477059523
BEN,2018,10.5,0.584776065066707,7.04902996384364
BIH,2018,2.5,0.343136653112688,8.707457428548297
BWA,2018,22.1,0.423715601790778,8.910310295940839
BRA,2018,2.5,0.367247171402822,9.137840821689386
BGR,2018,3.4,0.334170668507611,9.19749675246414
BFA,2018,14.0,0.520569239227855,6.6560394225149215
CPV,2018,15.5,0.425442579510421,8.36519870874094
KHM,2018,6.3,0.481936611886619,7.619073253998369
CMR,2018,6.0,0.485821328226616,7.384421920918873
CAN,2018,2.5,0.284672258179706,10.748049734874089
CAF,2018,25.3,0.586757400789239,6.120833457365551
TCD,2018,26.7,0.649153960782249,6.855046910028915
CHL,2018,3.1,0.333659485202075,9.658831818775825
CHN,2018,2.5,0.384793183173222,9.21887027022332
COL,2018,4.2,0.416909240913085,8.827170104063562
COM,2018,13.1,0.524422172197416,7.339999487025089
CRI,2018,2.5,0.381847074181903,9.440677934480254
HRV,2018,2.5,0.373900373572507,9.646038380610019
CYP,2018,2.5,0.354691649363559,10.295529178424376
CZE,2018,2.5,0.258914244528229,10.07348063255074
DNK,2018,2.5,0.343344658223717,11.023939061611191
DJI,2018,12.6,0.488783056847773,7.907682274149238
DMA,2018,5.5,0.434239174848604,9.128621351970367
DOM,2018,5.9,0.426134364157295,8.972461565044354
ECU,2018,10.4,0.451015086869663,8.748926761306318
SLV,2018,7.6,0.419965488050711,8.338914541381254
EST,2018,2.5,0.335728235951526,10.069770175776512
SWZ,2018,15.0,0.464187582649331,8.287393398731325
ETH,2018,14.1,0.54253096790372,6.617360201220894
FJI,2018,7.3,0.493014818508242,8.713650991514301
FIN,2018,2.5,0.28449871078289,10.812839259033648
FRA,2018,2.5,0.301001116953221,10.631475112939684
GAB,2018,16.4,0.436592504599892,8.939092845953938
GEO,2018,6.4,0.392157613739675,8.477215549505885
DEU,2018,2.5,0.300053060063851,10.797018422661447
GHA,2018,8.8,0.466358746050564,7.694083856988851
GRC,2018,2.5,0.338960436194739,9.897137509816558
GTM,2018,14.3,0.4344969954144,8.378608255215054
GIN,2018,14.0,0.527054100979047,6.8386984221985685
GNB,2018,13.6,0.626702006835311,6.695219779326951
GUY,2018,3.1,0.4640069537191,8.707546899245747
HTI,2018,40.3,0.51091510246039,7.31080446423179
HND,2018,13.2,0.447978757701774,7.80980201117464
HUN,2018,2.5,0.354356508249191,9.717462569588667
ISL,2018,2.5,0.326665029356254,11.217912440945767
IND,2018,10.6,0.491288596322456,7.583885769292524
IDN,2018,6.0,0.461336872108663,8.258669460684754
IRQ,2018,16.0,0.432772933070985,8.638824691468628
IRL,2018,2.5,0.317533233892465,11.298976549185339
ISR,2018,2.5,0.306393343559752,10.654022717363455
ITA,2018,2.5,0.346286127497558,10.460359814511666
JAM,2018,7.3,0.429460151018518,8.62660411861744
JOR,2018,9.2,0.389280797692938,8.32976418901495
KAZ,2018,2.5,0.315794732881006,9.156146588209845
KEN,2018,23.6,0.509340561322099,7.515591139521756
KIR,2018,3.2,0.593515429369866,7.556291051432737
KWT,2018,2.5,0.363928532076481,10.375612753685516
LVA,2018,2.5,0.366192873144487,9.75569327209736
LBN,2018,5.5,0.403219441270633,9.124187171598292
LBR,2018,34.9,0.558825080965714,6.539879448859046
LBY,2018,11.4,0.420848999066736,9.32336414304124
LTU,2018,2.5,0.371307950667351,9.865122513103078
LUX,2018,2.5,0.307782445218827,11.669303031391737
MDG,2018,36.0,0.556433304605233,6.215522051697948
MWI,2018,17.6,0.554563068922545,6.278902540437449
MYS,2018,3.1,0.380606429654715,9.296683375236038
MLI,2018,4.6,0.598208739198538,6.904128000491313
MLT,2018,2.5,0.333565672288326,10.415780132303746
MRT,2018,6.6,0.55712734035573,7.451784678388348
MUS,2018,7.3,0.437449615364854,9.362499979180026
MEX,2018,3.7,0.384261778402569,9.218783999546364
MNG,2018,6.8,0.361012806076537,8.3206046357421
MNE,2018,2.5,0.365174984502244,9.081470272472997
MAR,2018,3.5,0.370643295821419,8.161003272133136
MOZ,2018,38.3,0.492964879829689,6.249023554525365
MMR,2018,3.5,0.498560861060093,7.168744061914515
NAM,2018,20.0,0.471991095958088,8.577084958235245
NPL,2018,4.9,0.489990448056183,7.072590191637622
NZL,2018,2.5,0.303696156852219,10.674916127272361
NIC,2018,15.6,0.441915124836217,7.6183324183563705
NER,2018,11.1,0.634311755800652,6.360556146772828
NGA,2018,11.5,0.480405365268941,7.629431336223453
MKD,2018,2.9,0.373478758269516,8.811948577001
NOR,2018,2.5,0.256872362189541,11.324096895952724
OMN,2018,7.0,0.420923627376825,9.898563527608998
PAK,2018,11.7,0.51763029206339,7.35840924657028
PAN,2018,5.8,0.405026190469971,9.689757513994708
PNG,2018,28.3,0.53979498279377,7.8502470802170405
PRY,2018,2.6,0.373578020527405,8.741687816244973
PER,2018,6.5,0.419396288086282,8.85058801415107
PHL,2018,7.8,0.467591301042969,8.06101684036853
POL,2018,2.5,0.306145325695153,9.658750696521182
PRT,2018,2.5,0.321469817580837,10.066504812416667
ROU,2018,2.5,0.411523601412906,9.433664899408706
RUS,2018,2.5,0.32284998645368,9.324729895762207
RWA,2018,31.9,0.570574828003403,6.648691127521927
WSM,2018,4.9,0.488342397421761,8.350386044097812
STP,2018,17.9,0.546105697564958,7.5096638243858775
SAU,2018,2.5,0.416912528746994,10.287390727169278
SEN,2018,8.0,0.538522117571205,7.281080128684835
SRB,2018,2.5,0.428303729515943,8.930608169730212
SYC,2018,3.3,0.434999299281167,9.822290189334442
SLE,2018,26.0,0.602029703729443,6.740418338500136
SVN,2018,2.5,0.315457332050774,10.161536678113812
SLB,2018,17.9,0.610352980973044,7.731143718980521
ZAF,2018,6.1,0.397539192450871,8.84132936961601
ESP,2018,2.5,0.302901505308998,10.328834411872553
LKA,2018,5.0,0.47416149281975,8.379897226601495
SDN,2018,10.3,0.612661533232782,6.594451031985538
SUR,2018,9.3,0.398258414931215,8.80473652495258
SWE,2018,2.5,0.316576297489459,10.900102312105146
CHE,2018,2.5,0.256483648587123,11.35296055531743
SYR,2018,18.5,0.469796444975856,7.001306516604893
TJK,2018,12.2,0.346071372068951,6.7265791514281315
THA,2018,8.1,0.438095239210679,8.86781858377543
TLS,2018,16.2,0.552181614180662,7.106168334766086
TGO,2018,20.4,0.498122048486336,6.746565826387355
TTO,2018,7.1,0.364700093642464,9.774278478579381
TUN,2018,2.6,0.373476642276695,8.196465384322503
TKM,2018,3.4,0.372243896067894,8.72014247572357
UGA,2018,35.5,0.534134912333105,6.674770587391278
UKR,2018,2.6,0.369664291869611,8.025860263854936
ARE,2018,3.4,0.39884697433587,10.729631604872843
URY,2018,2.5,0.383987575322915,9.865263247126737
UZB,2018,2.5,0.355223466760842,7.502785263225715
VUT,2018,7.4,0.584332525332211,8.072984392364294
VNM,2018,7.3,0.466931755500082,8.07785378233981
ZMB,2018,31.8,0.494953510406787,7.288859371528776
ZWE,2018,30.9,0.513800278705801,7.728350858569164
AFG,2019,22.6,0.587843436099682,6.207789915869446
ALB,2019,4.3,0.401351320918995,8.605282913376637
DZA,2019,2.5,0.381465377316674,8.404797636427078
ARG,2019,3.7,0.381364588553903,9.205928131021869
ARM,2019,2.5,0.368526793861459,8.433208982253502
AUS,2019,2.5,0.313562157614812,10.91459200988416
AUT,2019,2.5,0.298257250768928,10.817495575722525
AZE,2019,2.5,0.400610651992998,8.477569170218306
BGD,2019,12.0,0.529206492636317,7.663782873754545
BRB,2019,2.5,0.372169283391949,9.932256070674825
BEL,2019,2.5,0.335382000287438,10.75185532779159
BLZ,2019,5.3,0.458243586868228,8.730698107617082
BEN,2019,11.4,0.57994618108686,7.03069950908468
BIH,2019,2.5,0.344722814219725,8.71970542848646
BWA,2019,22.1,0.42892865849849,8.877952322767555
BRA,2019,2.5,0.368938813790823,9.108289181878517
